Team,Wins,Losses,Seed,Avg PF,Playoffs,Haley,Bottom 4,Bolan
BRYCE,9.2,3.8,2.1,114.84,90.63,33.23,0.65,0.06
NICK,7.7,5.3,4.1,108.62,61.79,16.13,7.57,1.17
STEVE,7.7,5.3,4.6,106.77,56.9,13.25,8.84,1.47
MEADY,7.3,5.7,5.6,98.97,38.95,5.95,19.19,4.85
SCOTT,6.8,6.2,5.7,107.49,38.2,9.27,18.73,3.07
KOLBUSH,6.7,6.3,6.2,104.51,32.18,6.63,23.11,4.37
JOE,6.5,6.5,6.4,104.85,28.86,6.08,26.94,5.0
MCCLURE,6.3,6.7,7.1,100.09,20.74,3.39,35.98,8.43
LOGAN,5.9,7.1,7.3,106.35,19.15,4.31,37.32,6.38
JAMES,5.3,7.7,8.8,99.36,7.66,1.17,60.43,14.83
HUNYAR,4.9,8.1,9.6,94.19,3.7,0.41,73.93,23.73
DUC,3.9,9.1,10.6,95.77,1.25,0.17,87.32,26.65
