Team,1,2,3,4,5,6,7,8,9,10,11,12
NICK,13.74,16.54,9.03,8.27,8.28,7.69,7.95,7.15,6.49,5.97,4.96,3.94
DUC,12.76,16.24,8.96,8.04,8.03,7.97,7.94,7.46,6.88,6.07,5.42,4.25
BRYCE,11.72,7.84,11.37,10.33,9.7,8.99,7.99,7.7,7.17,6.52,5.9,4.76
MATTY,11.64,7.52,11.56,10.53,9.61,9.0,7.96,7.63,7.21,6.67,5.91,4.76
JON,11.68,7.26,11.29,10.57,9.62,9.14,7.99,7.68,7.34,6.67,6.0,4.76
LAMES,10.66,7.16,10.78,10.22,9.38,9.28,8.22,7.97,7.64,7.02,6.37,5.31
MCCLURE,5.19,8.21,6.17,6.89,7.18,7.98,8.99,8.92,9.3,9.92,10.25,10.99
JOE,4.66,8.87,5.57,6.58,7.11,7.77,8.71,9.01,9.45,10.08,10.66,11.53
SCOTT,4.81,8.98,5.45,6.29,7.14,7.7,8.45,9.05,9.46,10.17,10.75,11.76
KOLBUSH,4.57,3.84,6.8,7.57,7.92,8.17,8.88,9.17,9.67,10.2,11.0,12.21
STEVE,4.45,3.86,6.58,7.56,8.16,8.22,8.5,9.14,9.62,10.29,11.21,12.42
HUNYAR,4.11,3.69,6.45,7.15,7.87,8.09,8.44,9.12,9.76,10.42,11.59,13.31
